[INFO] 18:28:23:677 Cpu/(18484:18484): Cpu: Inicialización de campos correcta
[INFO] 18:28:23:731 Cpu/(18484:18484): Valor de PUERTO_ESCUCHA_DISPATCH 8001
[INFO] 18:28:23:733 Cpu/(18484:18484): Valor de PUERTO_ESCUCHA_INTERRUPT 8005
[INFO] 18:28:23:744 Cpu/(18484:18484): CPU: A la escucha de nuevas conexiones en puerto 4
[INFO] 18:28:32:158 Cpu/(18484:18484): CPU: Acepto la conexión del socket: 7
[INFO] 18:28:32:159 Cpu/(18484:18484): CPU: Recibiendo PCB de Kernel
[INFO] 18:28:32:164 Cpu/(18484:18484): CPU: Recibi el tamanio: 96
[INFO] 18:28:32:178 Cpu/(18484:18484): CPU: Recibi el PCB con ID: 1
[INFO] 18:28:32:180 Cpu/(18484:18484): CPU: Recibi el PCB con Tamanio: 50
[INFO] 18:28:32:181 Cpu/(18484:18484): CPU: Recibi el PCB con Status: EXEC
[INFO] 18:28:32:182 Cpu/(18484:18484): CPU: Recibi el PCB con PC: 0
[INFO] 18:28:32:193 Cpu/(18484:18484): CPU: Recibi el PCB con Rafaga: 10000.000000
[INFO] 18:28:32:194 Cpu/(18484:18484): Cantidad de Instrucciones: 10
[INFO] 18:28:32:196 Cpu/(18484:18484): Instr: 0
[INFO] 18:28:32:201 Cpu/(18484:18484): CPU: Ejecutando instruccion
[INFO] 18:28:32:202 Cpu/(18484:18484): CPU: Ejecutando fetch
[INFO] 18:28:32:203 Cpu/(18484:18484): CPU: Ejecuté fetch
[INFO] 18:28:32:204 Cpu/(18484:18484): CPU: Ejecutando decode
[INFO] 18:28:32:206 Cpu/(18484:18484): CPU: Ejecuté decode
[INFO] 18:28:32:211 Cpu/(18484:18484): CPU: Ejecutando fetch
[INFO] 18:28:32:212 Cpu/(18484:18484): CPU: Ejecuté fetch
[INFO] 18:28:32:213 Cpu/(18484:18484): CPU: Ejecutando decode
[INFO] 18:28:32:213 Cpu/(18484:18484): CPU: Ejecuté decode
[INFO] 18:28:32:215 Cpu/(18484:18484): CPU: Ejecutando fetch
[INFO] 18:28:32:216 Cpu/(18484:18484): CPU: Ejecuté fetch
[INFO] 18:28:32:217 Cpu/(18484:18484): CPU: Ejecutando decode
[INFO] 18:28:32:218 Cpu/(18484:18484): CPU: Ejecuté decode
[INFO] 18:28:32:220 Cpu/(18484:18484): CPU: Ejecutando fetch
[INFO] 18:28:32:221 Cpu/(18484:18484): CPU: Ejecuté fetch
[INFO] 18:28:32:222 Cpu/(18484:18484): CPU: Ejecutando decode
[INFO] 18:28:32:223 Cpu/(18484:18484): CPU: Ejecuté decode
[INFO] 18:28:32:224 Cpu/(18484:18484): CPU: Ejecutando fetch
[INFO] 18:28:32:224 Cpu/(18484:18484): CPU: Ejecuté fetch
[INFO] 18:28:32:225 Cpu/(18484:18484): CPU: Ejecutando decode
[INFO] 18:28:32:225 Cpu/(18484:18484): CPU: Ejecuté decode
[INFO] 18:28:32:229 Cpu/(18484:18484): CPU: Ejecutando fetch
[INFO] 18:28:32:229 Cpu/(18484:18484): CPU: Ejecuté fetch
[INFO] 18:28:32:230 Cpu/(18484:18484): CPU: Ejecutando decode
[INFO] 18:28:32:230 Cpu/(18484:18484): CPU: Ejecuté decode
[INFO] 18:28:32:231 Cpu/(18484:18484): CPU: Desalojo por instruccion I/O
